File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0001-jmac_DSC1459.dng,5248022 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:09 23:03:49,,1/400 s,F10,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0002-dgw_005.dng,13293308 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:12:23 15:08:12,,1/25 s,F2.8,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,2000,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0013-MB_20030906_001.dng,6478302 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS D60,2003:09:06 09:34:02,,1/125 s,F4.5,0 EV,No flash,,44.0 mm,,100,Shutter priority,Partial,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0014-WP_CRW_6320.dng,6423374 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS DIGITAL REBEL,2007:05:05 11:50:02,,1/250 s,F7.1,0 EV,No flash,,105.0 mm,,400,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0015-DSC_0081.dng,4355960 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2008:05:25 13:08:59,,1/750 s,F8,0 EV,No flash,,50.0 mm (35 mm equivalent: 75.0 mm),,200,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0016-jmac_MG_0795.dng,11569142 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:08:05 20:42:14,,1/320 s,F11,0 EV,No, compulsory,,24.0 mm,,400,Auto,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0017-050710_031618__MG_3496.dng,9352988 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:07:10 03:16:19,,1/100 s,F4,0 EV,No, compulsory,,51.0 mm,,800,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0018-kme_234.dng,7098774 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:03:06 11:54:30,,1/250 s,F8,0 EV,No, compulsory,,20.0 mm,,100,Auto,Average,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0019-jmac_MG_0653.dng,10692120 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:01:15 10:46:25,,1/6 s,F2.8,0 EV,No, compulsory,,20.0 mm,,800,Auto,Partial,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0020-jmac_MG_6225.dng,12278398 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:03:08 15:17:20,,1/320 s,F11,0 EV,No, compulsory,,24.0 mm,,400,Manual,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0021-07-11-28-at-09h22m57s-_MG_7427.dng,11181720 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:11:28 09:22:57,,1/60 s,F14,0 EV,No, compulsory,,24.0 mm,,250,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0022-IMG_2380.dng,14675148 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:20 17:37:09,,1/200 s,F2.8,0 EV,No, compulsory,,17.0 mm,,800,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0023-07-06-02-at-15h06m48-s_MG_1489.dng,10524662 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:06:02 15:06:48,,1/60 s,F4,0 EV,No, compulsory,,60.0 mm,,1000,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0024-_DSC8932.dng,13473456 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:11:02 10:45:56,,1/200 s,F5.6,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,200,Manual,Center weighted average,,,4284 x 2844,Manual,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0025-kme_298.dng,3579242 Bytes,image/tiff,3072 x 2048,KODAK,DCS460D         FILE VERSION 3,,,1/320 s,F4,0 EV,,,38.0 mm,,80,Aperture priority,,,,3072 x 2048,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0026-kme_391.dng,6280108 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:10:19 20:19:05,,1/10 s,F2.8,0 EV,No, compulsory,,45.0 mm,,100,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0027-IMG_3964.dng,12450882 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:19 17:32:14,,1/80 s,F2.8,0 EV,No, compulsory,,55.0 mm,,200,Aperture priority,Partial,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0028-_DSC0032.dng,4956198 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:10:31 11:25:44,,1/2000 s,F1.4,0 EV,No flash,,50.0 mm (35 mm equivalent: 75.0 mm),,200,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0029-jmac_DSC3974.dng,4893252 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:02:16 08:47:15,,1/250 s,F10,0 EV,No flash,,24.0 mm (35 mm equivalent: 36.0 mm),,200,Manual,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0030-_MG_7844.dng,10696546 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:03:28 13:26:25,,1/160 s,F11,0 EV,No, compulsory,,32.0 mm,,100,Aperture priority,Multi-segment,,,4476 x 2954,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0031-WP_CRW_0736.dng,6116400 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS 10D,2005:05:11 03:57:28,,1/45 s,F4,0 EV,No flash,,40.0 mm,,400,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0032-jmac_MG_0266.dng,10635956 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:01:14 14:02:05,,1/400 s,F10,-4/3 EV,No, compulsory,,20.0 mm,,320,Auto,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0033-KE_-2590.dng,4491536 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:07:15 03:32:12,,1/15 s,F4.2,0 EV,No flash,,35.0 mm (35 mm equivalent: 52.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0034-LSYD4O2202.dng,15968440 Bytes,image/tiff,5108 x 3349,Canon,Canon EOS-1Ds Mark II,2005:10:27 11:43:59,,1/50 s,F16,0 EV,No, compulsory,,48.0 mm,,200,Aperture priority,Multi-segment,,,5108 x 3349,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0035-dgw_048.dng,14117732 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:11:17 13:23:37,,1/500 s,F3.5,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,200,Manual,Multi-segment,,,4284 x 2844,Manual,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0036-jn_2007_05_05__183.dng,6741152 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2007:05:05 09:34:31,,1/200 s,F10,0 EV,No, compulsory,,17.0 mm,,100,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,2007 All Rights Reserved,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0037-jmacAlgarve_Sagres_07.dng,5121222 Bytes,image/tiff,2880 x 2144,FUJIFILM,FinePixS2Pro,2002:11:29 21:53:50,,1/125 s,,0 EV,No flash,,,,100,Manual,Multi-segment,,,2880 x 2144,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0038-MB_070908_135.dng,11642398 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:09:08 16:35:47,,1/125 s,F6.3,0 EV,No, compulsory,,53.0 mm,,250,Shutter priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0039-jmac_DSC3406.dng,4861280 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:02:14 06:31:43,,1/125 s,F5.6,0 EV,No flash,,24.0 mm (35 mm equivalent: 36.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0040-_DSC5693.dng,13810878 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:10:11 09:13:23,,1/100 s,F11,0 EV,No flash,,20.0 mm (35 mm equivalent: 20.0 mm),,250,Manual,Multi-segment,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0041-IMG_4972.dng,10830808 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:09:07 13:28:22,,1/1600 s,F6.3,0 EV,No, compulsory,,85.0 mm,,100,Aperture priority,Spot,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0042-060813_155838__MG_6361.dng,14082976 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:08:13 15:58:37,,1/125 s,F16,0 EV,No, compulsory,,67.0 mm,,1600,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0043-07-11-27-at-12h09m46s-_MG_7307.dng,10277884 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:11:27 12:09:46,,1/50 s,F4,+2/3 EV,No, compulsory,,80.0 mm,,800,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0044-JI2E0511.dng,6707934 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:08:22 17:07:52,,1/800 s,F14,0 EV,No, compulsory,,200.0 mm,,400,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0045-20050320_081337__E6B1177.dng,8726316 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2005:03:20 08:13:37,,1/125 s,F16,0 EV,No, compulsory,,100.0 mm,,200,Manual,Spot,,,3596 x 2360,Auto,None,Copyright 2007 by Eric Chan,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0046-dgw_101.dng,14977278 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:24 14:52:19,,1/200 s,F7.1,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,200,Auto,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0047-07-11-18-at-00h05m40s-_MG_4882.dng,11346900 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:11:18 00:05:40,,1/3 s,F6.3,0 EV,No, compulsory,,60.0 mm,,800,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0048-kme_066.dng,10342862 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:04:08 19:14:48,,1/250 s,F4,0 EV,No, compulsory,,35.0 mm,,100,Auto,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0049-_I2E5952.dng,7645446 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:11:06 23:19:33,,1/400 s,F4,0 EV,No, compulsory,,195.0 mm,,1600,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0050-_DSC0006.dng,4903214 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:10:15 19:51:10,,1/125 s,F5.3,0 EV,No flash,,42.0 mm (35 mm equivalent: 63.0 mm),,1250,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0051-WP_CRW_3461.dng,5710110 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS 10D,2005:10:01 14:14:04,,1/180 s,F6.7,0 EV,No flash,,72.0 mm,,400,Auto,Partial,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0052-dgw_131.dng,15287966 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:25 13:48:48,,1/200 s,F7.1,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,250,Auto,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0053-kme_103.dng,11237786 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:06:19 11:39:44,,1/500 s,F5.6,+1/3 EV,No, compulsory,,35.0 mm,,100,Auto,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0054-kme_097.dng,10865364 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:06:14 11:16:11,,1/400 s,F5,+1/3 EV,No, compulsory,,35.0 mm,,100,Auto,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0055-050729_194412__I2E5282.dng,7268058 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2005:07:29 19:44:12,,1/60 s,F2.5,0 EV,No, compulsory,,50.0 mm,,800,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0056-LSYD4O0815.dng,10774598 Bytes,image/tiff,5108 x 3349,Canon,Canon EOS-1Ds Mark II,2005:10:11 08:48:07,,1/100 s,F5.6,0 EV,No, compulsory,,165.0 mm,,100,Manual,Multi-segment,,,5108 x 3349,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0057-kme_406.dng,7152910 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:09:29 06:15:05,,1/500 s,F8,0 EV,No, compulsory,,70.0 mm,,200,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0058-NKIM_MG_6121.dng,10751316 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:11:05 23:22:48,,1/60 s,F2.8,0 EV,No, compulsory,,17.0 mm,,160,Manual,Multi-segment,,,3944 x 2622,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0059-JI2E5556.dng,6463796 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:10:29 18:10:09,,1/320 s,F1.2,0 EV,No, compulsory,,85.0 mm,,400,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0060-jmac_DSC3171.dng,4839352 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:02:13 11:24:03,,1/200 s,F7.1,0 EV,No flash,,24.0 mm (35 mm equivalent: 36.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0061-jn_20080802_0003.dng,4912550 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2008:08:02 15:15:49,,1/250 s,F8,+1 EV,Yes, compulsory,,28.0 mm,,100,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0062-LSCRW_0035.dng,6467480 Bytes,image/tiff,3160 x 2344,Canon,Canon PowerShot S70,2006:12:26 18:22:32,,1/30 s,F5.3,0 EV,No flash,,20.7 mm,,100,Manual,Center weighted average,,,3160 x 2344,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0063-IMG_4185.dng,10975362 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:24 18:29:28,,1/200 s,F5.6,0 EV,Yes, compulsory,,100.0 mm,,100,Aperture priority,Spot,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0064-_DSC7889.dng,11881118 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:10:23 13:03:33,,1/8 s,F14,0 EV,Yes, compulsory, return light not detected,,20.0 mm (35 mm equivalent: 20.0 mm),,200,Manual,Center weighted average,,,4284 x 2844,Manual,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0065-_DSC6405.dng,11483302 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:10:13 14:20:59,,1/15 s,F16,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,200,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0066-Ja_Pe-65.dng,9054678 Bytes,image/tiff,4248 x 2388,LEICA,D-LUX 3,2008:10:11 14:11:37,,1/500 s,F5.6,-33/100 EV,No, compulsory,,6.3 mm,,200,Auto,Multi-segment,,,4248 x 2388,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0067-kme_213.dng,7587722 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2000:01:01 00:00:19,,1/160 s,F6.3,+1/3 EV,No, compulsory,,24.0 mm,,100,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0068-LS051026_day_1_arive53.dng,15400328 Bytes,image/tiff,5108 x 3349,Canon,Canon EOS-1Ds Mark II,2005:10:27 05:15:05,,1/160 s,F4,0 EV,No, compulsory,,30.0 mm,,640,Aperture priority,Multi-segment,,,5108 x 3349,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0069-kme_056.dng,8251256 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:03:07 11:09:44,,1/125 s,F5.6,0 EV,No, compulsory,,20.0 mm,,100,Auto,Average,,,3596 x 2360,Auto,None,,
